image_url;seller_url;Title;Author
http://ecx.images-amazon.com/images/I/61qASzhZVML._SL160_.jpg;http://www.amazon.co.uk/Some-Desperate-Glory-Diary-Officer/dp/1848843011;Some Desperate Glory: The Diary of a Young Officer 1917;Edwin Campion Vaughan
http://ecx.images-amazon.com/images/I/41PWASRVB3L._SL160_.jpg;http://www.amazon.co.uk/German-Guns-Western-Military-Classics/dp/1844150194;With the German Guns: Four Years on the Western Front;Herbert Sulzbach
http://ecx.images-amazon.com/images/I/41ueve8KJjL._SL160_.jpg;http://www.amazon.co.uk/1918-British-Victory-Peter-Hart/dp/0753826895;1918: A Very British Victory;Peter Hart
http://ecx.images-amazon.com/images/I/512HE360TgL._SL160_.jpg;http://www.amazon.co.uk/China-Western-Front-Britains-Work-force/dp/0950833002;China on the Western Front: Britain's Chinese Work-force in the First World War;Michael Brynner Summerskill
http://ecx.images-amazon.com/images/I/51cXPti8-HL._SL160_.jpg;http://www.amazon.co.uk/Regimental-Records-Royal-Welch-Fusiliers/dp/1115999052;Regimental Records of the Royal Welch Fusiliers 23rd Foot;C Dudley Ward
http://ecx.images-amazon.com/images/I/41MvIlJEo4L._SL160_.jpg;http://www.amazon.co.uk/Old-Soldiers-Never-Frank-Richards/dp/1843420260;Old Soldiers Never Die;Frank Richards
http://www.oup.com/us/assets/images/emailListIcon-small.gif;http://www.oup.com/us/catalog/general/subject/HistoryOther/MilitaryHistory/WWI/~~/dmlldz11c2EmY2k9OTc4MDE5OTI1NzI4Nw==;The First World War in Africa;Hew Strachan
http://ecx.images-amazon.com/images/I/41AHPWVSGPL._SL160_.jpg;http://www.amazon.co.uk/Forgotten-Victory-First-World-Realities/dp/0747264600;Forgotten Victory: The First World War: Myths and Realities;Gary Sheffield
http://ecx.images-amazon.com/images/I/51DFhwaRWQL._SL160_.jpg;http://www.amazon.co.uk/Passchendaele-Sacrificial-Cassell-Military-Paperbacks/dp/0304359750;Passchendaele: The Sacrificial Ground;Nigel Steel, Peter Hart
http://www.penguin.co.uk/static/covers/all/1/7/9780140268171L.jpg;http://www.penguin.co.uk/nf/Book/BookDisplay/0,,9780140268171,00.html;1914-1918 ;David L. Stevenson
